#----------------------- Tank dimensions -----------------------
#        Length(m) of the wavetank::          xlen::    3.0000000000000000E+01
#          Beam(m) of the wavetank::          ylen::    1.0000000000000000E+01
#         Depth(m) of the wavetank::             h::    5.0000000000000000E+00
#------------------------ Select case --------------------------
#          Choice of computed case::         icase::     4
#------------------ Irregular wave (icase=4) -------------------
#      Significant wave height (m)::            Hs::    4.7000000000000000E-02
#                  Peak period (s)::            Tp::    1.0780000000000001E+00
#           Shape factor (Jonswap)::         gamma::    1.8000000000000000E+00
#    Seed number for random numb. ::         iseed::   950
# 
# 
#-------------------- Wavemaker definition ---------------------
#     Nonlinear order of wavemaker::         i_wmk::     2
#      Type (1: piston, 2: hinged)::         igeom::     2
#           Rotation axis distance::       d_hinge::    1.0000000000000000E+00
#                        Time ramp::         iramp::     0
#               Time ramp duration::         Tramp::    0.0000000000000000E+00
#----------------------- Numerical beach -----------------------
#       Absorption numerical beach::        iabsnb::     1
#       Beginning front num. beach::         xabsf::    8.0000000000000004E-01
#        Absorption strength front::     coeffabsf::    1.0000000000000000E+00
#------------- Elevation/Velocity-Pressure probes --------------
#                    Use of probes::       iprobes::     1
#      Filename of probe positions::      pro_file:: prob_W2Basin.inp                                                                                                                                                                                                                                                                                            
#---------------------- Time-integration -----------------------
#       Duration of the simulation::        T_stop::    4.3027999999999997E+02
#          Time tolerance: RK 4(5)::         toler::    1.0000000000000000E-04
#                 Output frequency::         f_out::    3.0000000000000000E+01
#--------------------------- Output ----------------------------
#       Output: 1-dim. ; 0-nondim.::          idim::     1
#                Free surface plot::           i3d::     0
#                       Modes plot::        imodes::     0
#            Wavemaker motion plot::          iwmk::     0
#     Swense output 1='yes',0='no'::          i_sw::     1
#--------------------- Numerical parameters ---------------------
#       Number of nodes/modes in x::            n1::   512
#       Number of nodes/modes in y::            n2::     1
#     Number of nodes/modes on wmk::            n3::    17
#                        HOS order::          mHOS::     3
#        Dealiasing in x-direction::            p1::     3
#        Dealiasing in y-direction::            p2::     1
#       Filtering ratio in x-modes::   coeffilt(1)::    1.0000000000000000E+00
#       Filtering ratio in y-modes::   coeffilt(2)::    1.0000000000000000E+00
#       Filtering ratio in z-modes::   coeffilt(3)::    1.0000000000000000E+00
TITLE="Probes elevation records versus time"
VARIABLES = "time" "p1" "p2" "p3" "p4" "p5" 
 2.76667E+00  1.06705E-03  9.23787E-04  4.02001E-04  2.71455E-04 -1.47806E-04
 2.80000E+00  1.13060E-03  9.90143E-04  4.59415E-04  3.26378E-04 -1.08910E-04
 2.83333E+00  1.19378E-03  1.05820E-03  5.18305E-04  3.83138E-04 -6.94745E-05
 2.86667E+00  1.25727E-03  1.12539E-03  5.77801E-04  4.40500E-04 -2.79420E-05
 2.90000E+00  1.32141E-03  1.18937E-03  6.37049E-04  4.97322E-04  1.69037E-05
 2.93333E+00  1.38532E-03  1.24899E-03  6.95495E-04  5.53052E-04  6.50878E-05
 2.96667E+00  1.44676E-03  1.30463E-03  7.53007E-04  6.07917E-04  1.15169E-04
 3.00000E+00  1.50288E-03  1.35758E-03  8.09701E-04  6.62575E-04  1.64953E-04
 3.03333E+00  1.55170E-03  1.40878E-03  8.65601E-04  7.17450E-04  2.12784E-04
 3.06667E+00  1.59296E-03  1.45811E-03  9.20455E-04  7.72352E-04  2.58367E-04
 3.10000E+00  1.62779E-03  1.50455E-03  9.73844E-04  8.26632E-04  3.02596E-04
 3.13333E+00  1.65800E-03  1.54687E-03  1.02539E-03  8.79543E-04  3.46909E-04
 3.16667E+00  1.68548E-03  1.58395E-03  1.07483E-03  9.30444E-04  3.92788E-04
 3.20000E+00  1.71163E-03  1.61521E-03  1.12207E-03  9.78984E-04  4.41219E-04
 3.23333E+00  1.73642E-03  1.64130E-03  1.16736E-03  1.02548E-03  4.91934E-04
 3.26667E+00  1.75816E-03  1.66425E-03  1.21136E-03  1.07101E-03  5.43237E-04
 3.30000E+00  1.77472E-03  1.68618E-03  1.25470E-03  1.11671E-03  5.93129E-04
 3.33333E+00  1.78515E-03  1.70755E-03  1.29741E-03  1.16278E-03  6.40815E-04
 3.36667E+00  1.79009E-03  1.72688E-03  1.33878E-03  1.20830E-03  6.87023E-04
 3.40000E+00  1.79064E-03  1.74191E-03  1.37779E-03  1.25193E-03  7.33035E-04
 3.43333E+00  1.78732E-03  1.75079E-03  1.41358E-03  1.29256E-03  7.79693E-04
 3.46667E+00  1.77982E-03  1.75246E-03  1.44563E-03  1.32957E-03  8.27144E-04
 3.50000E+00  1.76728E-03  1.74657E-03  1.47365E-03  1.36276E-03  8.74945E-04
 3.53333E+00  1.74837E-03  1.73357E-03  1.49764E-03  1.39231E-03  9.22082E-04
 3.56667E+00  1.72142E-03  1.71474E-03  1.51785E-03  1.41884E-03  9.67061E-04
 3.60000E+00  1.68507E-03  1.69164E-03  1.53471E-03  1.44310E-03  1.00846E-03
 3.63333E+00  1.63924E-03  1.66499E-03  1.54841E-03  1.46537E-03  1.04587E-03
 3.66667E+00  1.58580E-03  1.63399E-03  1.55867E-03  1.48507E-03  1.08044E-03
 3.70000E+00  1.52772E-03  1.59686E-03  1.56489E-03  1.50101E-03  1.11422E-03
 3.73333E+00  1.46740E-03  1.55247E-03  1.56666E-03  1.51237E-03  1.14870E-03
 3.76667E+00  1.40545E-03  1.50141E-03  1.56420E-03  1.51928E-03  1.18379E-03
 3.80000E+00  1.34101E-03  1.44562E-03  1.55820E-03  1.52268E-03  1.21817E-03
 3.83333E+00  1.27287E-03  1.38721E-03  1.54935E-03  1.52356E-03  1.25024E-03
 3.86667E+00  1.20036E-03  1.32744E-03  1.53797E-03  1.52246E-03  1.27894E-03
 3.90000E+00  1.12361E-03  1.26653E-03  1.52390E-03  1.51923E-03  1.30396E-03
 3.93333E+00  1.04335E-03  1.20370E-03  1.50659E-03  1.51322E-03  1.32566E-03
 3.96667E+00  9.60631E-04  1.13757E-03  1.48535E-03  1.50351E-03  1.34486E-03
 4.00000E+00  8.76316E-04  1.06671E-03  1.45958E-03  1.48926E-03  1.36245E-03
 4.03333E+00  7.90677E-04  9.90132E-04  1.42898E-03  1.46999E-03  1.37899E-03
 4.06667E+00  7.03052E-04  9.07668E-04  1.39357E-03  1.44571E-03  1.39433E-03
 4.10000E+00  6.11786E-04  8.20003E-04  1.35355E-03  1.41683E-03  1.40740E-03
 4.13333E+00  5.14640E-04  7.28296E-04  1.30915E-03  1.38391E-03  1.41644E-03
 4.16667E+00  4.09759E-04  6.33401E-04  1.26030E-03  1.34720E-03  1.41982E-03
 4.20000E+00  2.96725E-04  5.35107E-04  1.20651E-03  1.30630E-03  1.41686E-03
 4.23333E+00  1.76919E-04  4.32010E-04  1.14695E-03  1.26014E-03  1.40831E-03
 4.26667E+00  5.28305E-05  3.22240E-04  1.08081E-03  1.20744E-03  1.39580E-03
 4.30000E+00 -7.32851E-05  2.04658E-04  1.00774E-03  1.14745E-03  1.38077E-03
 4.33333E+00 -2.00560E-04  7.98411E-05  9.28134E-04  1.08042E-03  1.36347E-03
 4.36667E+00 -3.29735E-04 -4.97888E-05  8.43113E-04  1.00768E-03  1.34277E-03
 4.40000E+00 -4.62253E-04 -1.80917E-04  7.54101E-04  9.31030E-04  1.31682E-03
 4.43333E+00 -5.98795E-04 -3.10858E-04  6.62241E-04  8.51892E-04  1.28432E-03
 4.46667E+00 -7.38201E-04 -4.38723E-04  5.67956E-04  7.70617E-04  1.24542E-03
 4.50000E+00 -8.77456E-04 -5.65548E-04  4.70931E-04  6.86437E-04  1.20179E-03
 4.53333E+00 -1.01282E-03 -6.93250E-04  3.70514E-04  5.98078E-04  1.15577E-03
 4.56667E+00 -1.14166E-03 -8.22862E-04  2.66401E-04  5.04796E-04  1.10887E-03
 4.60000E+00 -1.26376E-03 -9.53171E-04  1.59163E-04  4.07183E-04  1.06073E-03
 4.63333E+00 -1.38100E-03 -1.08106E-03  5.01690E-05  3.07016E-04  1.00939E-03
 4.66667E+00 -1.49529E-03 -1.20343E-03 -5.91575E-05  2.06117E-04  9.52973E-04
 4.70000E+00 -1.60683E-03 -1.31896E-03 -1.68083E-04  1.05291E-04  8.91030E-04
 4.73333E+00 -1.71413E-03 -1.42804E-03 -2.76665E-04  4.25912E-06  8.24451E-04
 4.76667E+00 -1.81506E-03 -1.53188E-03 -3.85341E-04 -9.77434E-05  7.54595E-04
 4.80000E+00 -1.90756E-03 -1.63175E-03 -4.94548E-04 -2.01479E-04  6.82774E-04
 4.83333E+00 -1.99019E-03 -1.72851E-03 -6.04468E-04 -3.07398E-04  6.09971E-04
 4.86667E+00 -2.06283E-03 -1.82182E-03 -7.14744E-04 -4.15181E-04  5.36238E-04
 4.90000E+00 -2.12709E-03 -1.90964E-03 -8.24351E-04 -5.23498E-04  4.60336E-04
 4.93333E+00 -2.18525E-03 -1.98924E-03 -9.31966E-04 -6.30581E-04  3.80522E-04
 4.96667E+00 -2.23840E-03 -2.05909E-03 -1.03670E-03 -7.35330E-04  2.96038E-04
 5.00000E+00 -2.28549E-03 -2.11981E-03 -1.13852E-03 -8.37914E-04  2.07824E-04
 5.03333E+00 -2.32419E-03 -2.17331E-03 -1.23798E-03 -9.39327E-04  1.17803E-04
 5.06667E+00 -2.35246E-03 -2.22119E-03 -1.33555E-03 -1.04038E-03  2.75511E-05
 5.10000E+00 -2.36961E-03 -2.26362E-03 -1.43112E-03 -1.14105E-03 -6.24328E-05
 5.13333E+00 -2.37613E-03 -2.29953E-03 -1.52395E-03 -1.24045E-03 -1.52521E-04
 5.16667E+00 -2.37310E-03 -2.32719E-03 -1.61296E-03 -1.33727E-03 -2.43417E-04
 5.20000E+00 -2.36163E-03 -2.34476E-03 -1.69699E-03 -1.43011E-03 -3.35792E-04
 5.23333E+00 -2.34239E-03 -2.35087E-03 -1.77506E-03 -1.51784E-03 -4.29973E-04
 5.26667E+00 -2.31502E-03 -2.34521E-03 -1.84671E-03 -1.60002E-03 -5.25484E-04
 5.30000E+00 -2.27787E-03 -2.32890E-03 -1.91204E-03 -1.67703E-03 -6.20838E-04
 5.33333E+00 -2.22875E-03 -2.30375E-03 -1.97146E-03 -1.74967E-03 -7.14080E-04
 5.36667E+00 -2.16640E-03 -2.27090E-03 -2.02513E-03 -1.81832E-03 -8.03901E-04
 5.40000E+00 -2.09143E-03 -2.22980E-03 -2.07253E-03 -1.88229E-03 -8.90410E-04
 5.43333E+00 -2.00600E-03 -2.17863E-03 -2.11256E-03 -1.94006E-03 -9.74800E-04
 5.46667E+00 -1.91236E-03 -2.11576E-03 -2.14415E-03 -1.99014E-03 -1.05814E-03
 5.50000E+00 -1.81162E-03 -2.04098E-03 -2.16679E-03 -2.03187E-03 -1.14046E-03
 5.53333E+00 -1.70379E-03 -1.95541E-03 -2.18062E-03 -2.06545E-03 -1.22080E-03
 5.56667E+00 -1.58842E-03 -1.86089E-03 -2.18612E-03 -2.09155E-03 -1.29787E-03
 5.60000E+00 -1.46507E-03 -1.75932E-03 -2.18387E-03 -2.11091E-03 -1.37041E-03
 5.63333E+00 -1.33373E-03 -1.65223E-03 -2.17426E-03 -2.12399E-03 -1.43752E-03
 5.66667E+00 -1.19545E-03 -1.54006E-03 -2.15723E-03 -2.13057E-03 -1.49918E-03
 5.70000E+00 -1.05240E-03 -1.42198E-03 -2.13221E-03 -2.12967E-03 -1.55627E-03
 5.73333E+00 -9.06935E-04 -1.29686E-03 -2.09846E-03 -2.12007E-03 -1.60982E-03
 5.76667E+00 -7.60360E-04 -1.16457E-03 -2.05558E-03 -2.10117E-03 -1.65991E-03
 5.80000E+00 -6.12627E-04 -1.02625E-03 -2.00376E-03 -2.07321E-03 -1.70554E-03
 5.83333E+00 -4.63226E-04 -8.83507E-04 -1.94345E-03 -2.03678E-03 -1.74537E-03
 5.86667E+00 -3.11960E-04 -7.37613E-04 -1.87503E-03 -1.99233E-03 -1.77845E-03
 5.90000E+00 -1.58947E-04 -5.89619E-04 -1.79877E-03 -1.94014E-03 -1.80411E-03
